epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,230.56,0.13585,0.95833,1,0.10052,0.000235264,0.000235264,0.000235264
2,458.188,0.13757,0.95833,1,0.10143,0.00043422,0.00043422,0.00043422
3,673.474,0.15746,0.96354,1,0.08612,0.000593906,0.000593906,0.000593906
4,890.34,0.14105,0.98438,1,0.08002,0.000537285,0.000537285,0.000537285
5,1103.65,0.08994,0.97917,1,0.04979,0.00047838,0.00047838,0.00047838
6,1297.48,0.08482,0.98438,1,0.03026,0.000419475,0.000419475,0.000419475
7,1446.07,0.12721,0.97917,1,0.05491,0.00036057,0.00036057,0.00036057
8,1596.15,0.06474,0.98438,1,0.02316,0.000301665,0.000301665,0.000301665
9,1744.89,0.08118,0.98958,1,0.02534,0.00024276,0.00024276,0.00024276
10,1901.78,0.04094,0.98438,1,0.02738,0.000183855,0.000183855,0.000183855
11,2059.72,0.04884,0.99479,1,0.02311,0.00012495,0.00012495,0.00012495
12,2210.98,0.04727,0.99479,1,0.02434,6.6045e-05,6.6045e-05,6.6045e-05
